Round,Date,Venue,Team,Opponent,Score,OpponentScore,Possession,Shots,ShotsOnTarget,Saves,YellowCards,RedCards,Fouls,Corners,Crosses,Interceptions,Venue Role,Result
Group stage,2026-06-11,"Estadio Banorte, Coyoacán",Mexico,South Africa,2.0,0.0,61,16,4,2,1,1,12,3,12,8,Home,Win
Group stage,2026-06-11,"Estadio Akron, Zapopan",Korea Republic,Czechia,2.0,1.0,62,15,6,3,1,0,9,4,12,11,Home,Win
Group stage,2026-06-12,"BMO Field, Toronto",Canada,Bosnia–Herz,1.0,1.0,61,13,4,2,2,0,10,9,24,4,Home,Draw
Group stage,2026-06-12,"SoFi Stadium, Inglewood",United States,Paraguay,4.0,1.0,65,16,6,0,1,0,13,3,17,11,Home,Win
Group stage,2026-06-13,"Levi's Stadium, Santa Clara",Qatar,Switzerland,1.0,1.0,32,7,4,5,2,0,12,3,8,10,Home,Draw
Group stage,2026-06-13,"MetLife Stadium, East Rutherford",Brazil,Morocco,1.0,1.0,51,12,5,2,2,0,16,6,16,5,Home,Draw
Group stage,2026-06-13,"BC Place Stadium, Vancouver",Australia,Türkiye,2.0,0.0,28,9,4,8,0,0,12,5,14,6,Home,Win
Group stage,2026-06-13,"Gillette Stadium, Foxborough",Haiti,Scotland,0.0,1.0,54,15,2,1,1,0,23,4,23,6,Home,Loss
Group stage,2026-06-14,"Reliant Stadium, Houston",Germany,Curaçao,7.0,1.0,65,26,12,1,0,0,18,8,12,10,Home,Win
Group stage,2026-06-14,"AT&T Stadium, Arlington",Netherlands,Japan,2.0,2.0,60,10,6,1,3,0,7,5,21,7,Home,Draw
Group stage,2026-06-14,"Lincoln Financial Field, Philadelphia",Côte d'Ivoire,Ecuador,1.0,0.0,48,15,4,1,3,0,10,3,7,11,Home,Win
Group stage,2026-06-14,"Estadio BBVA Bancomer, Guadalupe",Sweden,Tunisia,5.0,1.0,49,13,7,1,0,0,10,4,12,8,Home,Win
Group stage,2026-06-15,"Lumen Field, Seattle",Belgium,Egypt,1.0,1.0,54,15,3,2,2,0,15,2,16,10,Home,Draw
Group stage,2026-06-15,"Mercedes-Benz Stadium, Atlanta",Spain,Cabo Verde,0.0,0.0,74,27,7,1,1,0,10,11,36,6,Home,Draw
Group stage,2026-06-15,"Hard Rock Stadium, Miami Gardens",Saudi Arabia,Uruguay,1.0,1.0,33,7,3,9,1,0,11,4,7,7,Home,Draw
Group stage,2026-06-15,"SoFi Stadium, Inglewood",IR Iran,New Zealand,2.0,2.0,48,17,4,6,1,0,10,4,19,11,Home,Draw
Group stage,2026-06-16,"MetLife Stadium, East Rutherford",France,Senegal,3.0,1.0,54,11,8,2,0,0,5,6,9,7,Home,Win
Group stage,2026-06-16,"Gillette Stadium, Foxborough",Iraq,Norway,1.0,4.0,39,11,1,2,1,0,12,2,13,5,Home,Loss
Group stage,2026-06-16,"GEHA Field at Arrowhead Stadium, Kansas City",Argentina,Algeria,3.0,0.0,48,10,6,0,0,0,13,2,5,12,Home,Win
Group stage,2026-06-16,"Levi's Stadium, Santa Clara",Austria,Jordan,3.0,1.0,63,11,4,3,1,0,12,4,17,15,Home,Win
Group stage,2026-06-17,"Reliant Stadium, Houston",Portugal,Congo DR,1.0,1.0,75,7,1,1,3,0,9,5,23,2,Home,Draw
Group stage,2026-06-17,"AT&T Stadium, Arlington",England,Croatia,4.0,2.0,52,22,11,3,0,0,10,8,13,7,Home,Win
Group stage,2026-06-17,"BMO Field, Toronto",Ghana,Panama,1.0,0.0,38,8,2,4,1,0,9,2,16,8,Home,Win
Group stage,2026-06-17,"Estadio Banorte, Coyoacán",Uzbekistan,Colombia,1.0,3.0,39,8,2,1,1,0,14,3,13,7,Home,Loss
Group stage,2026-06-18,"Mercedes-Benz Stadium, Atlanta",Czechia,South Africa,1.0,1.0,38,14,3,3,1,0,12,5,16,9,Home,Draw
Group stage,2026-06-18,"SoFi Stadium, Inglewood",Switzerland,Bosnia–Herz,4.0,1.0,62,13,7,2,1,0,7,7,22,4,Home,Win
Group stage,2026-06-18,"BC Place Stadium, Vancouver",Canada,Qatar,6.0,0.0,79,32,10,0,1,0,9,19,55,6,Home,Win
Group stage,2026-06-18,"Estadio Akron, Zapopan",Mexico,Korea Republic,1.0,0.0,42,8,4,2,0,0,9,0,5,7,Home,Win
Group stage,2026-06-19,"Lumen Field, Seattle",United States,Australia,2.0,0.0,62,10,2,2,3,0,12,7,14,21,Home,Win
Group stage,2026-06-19,"Gillette Stadium, Foxborough",Scotland,Morocco,0.0,1.0,41,6,0,1,1,0,11,2,13,9,Home,Loss
Group stage,2026-06-19,"Levi's Stadium, Santa Clara",Türkiye,Paraguay,0.0,1.0,79,32,5,1,2,0,14,12,42,6,Home,Loss
Group stage,2026-06-19,"Lincoln Financial Field, Philadelphia",Brazil,Haiti,3.0,0.0,57,8,5,3,1,0,13,4,9,10,Home,Win
Group stage,2026-06-20,"Reliant Stadium, Houston",Netherlands,Sweden,5.0,1.0,51,10,7,7,0,0,9,2,15,8,Home,Win
Group stage,2026-06-20,"BMO Field, Toronto",Germany,Côte d'Ivoire,2.0,1.0,59,16,7,1,0,0,5,8,21,7,Home,Win
Group stage,2026-06-20,"GEHA Field at Arrowhead Stadium, Kansas City",Ecuador,Curaçao,0.0,0.0,75,27,15,3,1,0,7,9,32,7,Home,Draw
Group stage,2026-06-20,"Estadio BBVA, Guadalupe",Tunisia,Japan,0.0,4.0,38,2,0,1,0,0,8,3,10,14,Home,Loss
Group stage,2026-06-21,"Mercedes-Benz Stadium, Atlanta",Spain,Saudi Arabia,4.0,0.0,67,22,8,1,0,0,10,6,25,16,Home,Win
Group stage,2026-06-21,"SoFi Stadium, Inglewood",Belgium,IR Iran,0.0,0.0,70,23,7,3,1,1,7,4,32,3,Home,Draw
Group stage,2026-06-21,"Hard Rock Stadium, Miami Gardens",Uruguay,Cabo Verde,2.0,2.0,65,17,2,2,2,0,11,11,29,8,Home,Draw
Group stage,2026-06-21,"BC Place Stadium, Vancouver",New Zealand,Egypt,1.0,3.0,44,11,5,4,2,0,14,4,15,5,Home,Loss
Group stage,2026-06-22,"AT&T Stadium, Arlington",Argentina,Austria,2.0,0.0,54,12,5,1,2,0,13,1,4,8,Home,Win
Group stage,2026-06-22,"Lincoln Financial Field, Philadelphia",France,Iraq,3.0,0.0,56,19,5,0,0,0,8,4,14,5,Home,Win
Group stage,2026-06-22,"MetLife Stadium, East Rutherford",Norway,Senegal,3.0,2.0,42,13,7,2,0,0,13,5,10,8,Home,Win
Group stage,2026-06-22,"Levi's Stadium, Santa Clara",Jordan,Algeria,1.0,2.0,28,8,4,6,1,0,11,1,5,2,Home,Loss
Group stage,2026-06-23,"Reliant Stadium, Houston",Portugal,Uzbekistan,5.0,0.0,66,17,9,2,1,0,14,3,22,5,Home,Win
Group stage,2026-06-23,"Gillette Stadium, Foxborough",England,Ghana,0.0,0.0,79,19,3,0,1,0,14,9,30,1,Home,Draw
